RootCategory,Textbox240,ParentCategory,Textbox65,ProductCategory,Textbox62,ProductName,ProductId,StockLevel1,VatRate1,CaseCost1,CaseSize1,UnitCost1,SalesPrice1,SalesExVat1,Margin1,LastSoldDate,SupplierName,LastDocketId,LastDocketDate,LastDocketSupplier,LastDocketSupplierCode,LastDocketStatus,Created,Modified,Textbox36
TOBACCO,379,CIGARETTES/ TOBACCO,335,CAPSULES,39,VUSE  EPOD CHILLMINT VPRO 18MG,5000393169235,-9,23.00,17.07,5,3.410,7.00,5.69,40.07,18/10/21,P. J. CARROLL & CO,19694,05/10/21,P. J. CARROLL & CO,169242,In Progress,16/04/21,25/08/21,379
TOBACCO,379,CIGARETTES/ TOBACCO,335,CAPSULES,39,VUSE  EPOD CHILLMINT VPRO 6MG,5000393169273,17,23.00,17.07,5,3.410,7.00,5.69,40.07,15/10/21,P. J. CARROLL & CO,18895,17/08/21,P. J. CARROLL & CO,169280,Received,02/07/21,17/08/21,379
TOBACCO,379,CIGARETTES/ TOBACCO,335,CAPSULES,39,VUSE  EPOD CREAMTMNT VPRO 12MG,5000393169709,5,23.00,17.07,5,3.410,7.00,5.69,40.07,24/10/21,P. J. CARROLL & CO,19053,25/08/21,P. J. CARROLL & CO,169716,Received,06/07/21,25/08/21,379
TOBACCO,379,CIGARETTES/ TOBACCO,335,CAPSULES,39,VUSE  EPOD CREAMTMNT VPRO 6MG,5000393169730,3,23.00,17.07,5,3.410,7.00,5.69,40.07,18/08/21,P. J. CARROLL & CO,18281,13/07/21,P. J. CARROLL & CO,169747,Received,03/07/21,13/07/21,379
TOBACCO,379,CIGARETTES/ TOBACCO,335,CAPSULES,39,VUSE  EPOD PEPPERMINT 12MG,5000393169587,10,23.00,17.07,5,3.410,7.00,5.69,40.07,,P. J. CARROLL & CO,19202,02/09/21,P. J. CARROLL & CO,169594,Received,13/07/21,02/09/21,379
TOBACCO,379,CIGARETTES/ TOBACCO,335,CAPSULES,39,VUSE  EPOD PEPPERMNT VPRO 6MG,5000393169617,9,23.00,17.07,5,3.410,7.00,5.69,40.07,13/08/21,P. J. CARROLL & CO,18281,13/07/21,P. J. CARROLL & CO,169624,Received,06/07/21,13/07/21,379
TOBACCO,379,CIGARETTES/ TOBACCO,335,CAPSULES,39,VUSE  EPOD VANILLA MEDLEY 12MG,5000393169648,1,23.00,17.07,5,3.410,7.00,5.69,40.07,09/10/21,P. J. CARROLL & CO,19053,25/08/21,P. J. CARROLL & CO,169655,Received,03/07/21,25/08/21,379
TOBACCO,379,CIGARETTES/ TOBACCO,335,CAPSULES,39,VUSE  EPOD VANILLA VPRO 18MG,5000393169679,0,23.00,17.07,5,3.410,7.00,5.69,40.07,22/10/21,P. J. CARROLL & CO,19694,05/10/21,P. J. CARROLL & CO,169686,In Progress,05/10/21,05/10/21,379
TOBACCO,379,CIGARETTES/ TOBACCO,335,CAPSULES,39,VUSE  EPOD VERYBERRY VPRO 12MG,5000393169303,-15,23.00,17.07,5,3.410,7.00,5.69,40.07,29/09/21,P. J. CARROLL & CO,19475,21/09/21,P. J. CARROLL & CO,169310,In Progress,24/04/21,24/04/21,379
TOBACCO,379,CIGARETTES/ TOBACCO,335,CAPSULES,39,VUSE  EPOD VERYBERRY VPRO 18MG,5000393169334,-9,23.00,17.07,5,3.410,7.00,5.69,40.07,21/10/21,P. J. CARROLL & CO,18983,21/08/21,P. J. CARROLL & CO,169341,Received,18/05/21,21/08/21,379
